customer_id,first_purchase_date,last_purchase_date,frequency_orders,monetary_value_gbp,average_order_value_gbp,median_order_value_gbp,total_units,average_distinct_products_per_order,active_months,primary_country,recency_days,tenure_days,average_days_between_orders,cancellation_orders,refund_value_gbp,cancellation_rate,snapshot_date,r_score,f_score,m_score,rfm_code,rfm_score,segment
12346,2010-03-02 13:08:00,2011-01-18 10:01:00,3,77352.96,25784.320000000003,142.31,74239.0,8.333333333333334,3,United Kingdom,326,323,160.93506944444445,5.0,77608.20000000001,0.625,2011-12-10 00:00:00,2,3,5,235,3.33,At Risk
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,4921.53,615.19125,598.22,2967.0,27.75,8,Iceland,3,403,57.43769841269841,0.0,0.0,0.0,2011-12-10 00:00:00,5,4,5,545,4.67,Champions
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,1658.3999999999999,331.67999999999995,270.0,2704.0,8.4,5,Finland,76,364,90.73159722222223,0.0,0.0,0.0,2011-12-10 00:00:00,3,4,4,344,3.67,Loyal Customers
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,3,3678.6899999999996,1226.2299999999998,1152.62,1621.0,57.333333333333336,3,Italy,19,572,285.4274305555556,1.0,24.15,0.25,2011-12-10 00:00:00,5,3,5,535,4.33,Loyal Customers
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,294.4,294.4,196.0,16.0,1,Norway,311,1,311.0,0.0,0.0,0.0,2011-12-10 00:00:00,2,1,2,212,1.67,Hibernating
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,300.93,300.93,261.0,21.0,1,Unspecified,376,1,376.0,0.0,0.0,0.0,2011-12-10 00:00:00,2,1,2,212,1.67,Hibernating
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,9,1729.54,192.17111111111112,200.05,714.0,10.555555555555555,5,Norway,37,357,44.52230902777778,3.0,960.63,0.25,2011-12-10 00:00:00,4,5,4,454,4.33,Champions
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.76,203.38,203.38,212.0,12.0,2,Bahrain,205,205,204.21041666666667,0.0,0.0,0.0,2011-12-10 00:00:00,2,2,2,222,2.0,Hibernating
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,1079.4,1079.4,530.0,58.0,1,Spain,233,1,233.0,0.0,0.0,0.0,2011-12-10 00:00:00,2,1,3,213,2.0,Hibernating
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.6099999999999,473.80499999999995,473.80499999999995,543.0,17.5,2,Bahrain,215,354,353.0763888888889,0.0,0.0,0.0,2011-12-10 00:00:00,2,2,3,223,2.33,Hibernating
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,5611.7300000000005,935.2883333333334,639.9499999999999,3376.0,23.0,5,Portugal,23,403,80.39138888888888,0.0,0.0,0.0,2011-12-10 00:00:00,4,4,5,445,4.33,Champions
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,2,17437.66,8718.83,8718.83,6586.0,147.5,2,Switzerland,34,356,355.2513888888889,0.0,0.0,0.0,2011-12-10 00:00:00,4,2,5,425,3.67,New or Promising
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,3447.07,689.414,523.2,1068.0,14.6,5,Austria,2,731,182.52552083333336,0.0,0.0,0.0,2011-12-10 00:00:00,5,4,5,545,4.67,Champions
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,8873.39,887.3389999999999,549.415,2739.0,36.0,8,Cyprus,58,678,75.21875,4.0,221.05,0.2857142857142857,2011-12-10 00:00:00,4,5,5,455,4.67,Champions
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,6,3612.89,602.1483333333333,596.415,2443.0,35.166666666666664,6,Austria,53,604,120.64861111111111,1.0,40.0,0.14285714285714285,2011-12-10 00:00:00,4,4,5,445,4.33,Champions
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,451.25,112.8125,96.6,231.0,6.25,4,Belgium,288,396,131.65601851851852,0.0,0.0,0.0,2011-12-10 00:00:00,2,3,2,232,2.33,At Risk
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,4737.2300000000005,473.72300000000007,436.63,2197.0,25.6,8,Belgium,4,293,32.46836419753086,3.0,71.65,0.23076923076923078,2011-12-10 00:00:00,5,5,5,555,5.0,Champions
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,276.0,276.0,408.0,11.5,2,Unspecified,110,134,132.8673611111111,0.0,0.0,0.0,2011-12-10 00:00:00,3,2,2,322,2.33,Potential Loyalists
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1208.1,302.025,282.19,1499.0,20.25,4,Belgium,8,106,34.930092592592594,0.0,0.0,0.0,2011-12-10 00:00:00,5,3,4,534,4.0,Loyal Customers
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,320.69,320.69,320.69,173.0,21.0,1,Cyprus,292,1,292.0,1.0,320.69,0.5,2011-12-10 00:00:00,2,1,2,212,1.67,Hibernating
